dataset,basis,record,num_qubits,active_electrons,active_orbitals,exact_energy,vqe_energy,error,exact_runtime_sec,vqe_runtime_sec,runtime_sec,note
mor41,sto3g,CO,6,4,4,-111.2596819306813,-111.25960072521545,8.120546584677868e-05,1.4559766570000647,7.177930395999738,8.633907052999803,
mor41,sto3g,CO2,6,4,4,-185.13928120411495,-185.13921945676017,6.17473547777081e-05,1.568163099999765,7.172307397000168,8.740470496999933,
mor41,sto3g,H2,2,,,-1.1372433819747805,-1.1372433819166756,5.810485426138712e-11,0.04687816399973599,0.05549271299969405,0.10237087699943004,
